index,I_float,Q_float
688,0.384766,-0.920898
689,-0.377197,-0.920898
690,0.915527,-0.383545
691,-0.385254,-0.934082
692,-0.366699,0.913574
693,-0.903809,-0.384766
694,-0.915039,-0.387207
695,0.37207,-0.936523
696,0.918945,-0.383301
697,-0.918457,-0.385254
698,0.924316,-0.40625
699,0.921875,0.364746
700,-0.400879,-0.914062
701,0.918457,-0.383545
702,0.378418,-0.92041
703,-0.385986,-0.927246
704,-0.397705,-0.916504
705,0.391357,0.924316
706,-0.375488,0.92627
707,-0.924805,0.390869
708,0.941895,0.374756
709,0.927734,-0.389893
710,0.387939,0.928223
711,-0.931152,0.394043
712,0.388428,0.933105
713,0.38208,-0.936523
714,0.915039,-0.39917
715,0.410156,0.930664
716,0.925781,-0.380127
717,-0.932129,0.377686
718,0.387207,0.924316
719,0.916504,0.364746
720,0.39917,0.915039
721,0.92041,-0.377441
722,-0.922363,0.37915
723,-0.913574,0.367432
724,0.925293,-0.382324
725,-0.382568,-0.927246
726,-0.918457,-0.393799
727,0.379883,-0.916992
728,-0.382568,-0.940918
729,-0.907715,0.364014
730,-0.918945,0.379883
731,0.365479,0.893066
732,0.385498,-0.921875
733,0.927246,-0.387695
734,0.381592,0.912109
735,-0.368652,-0.932617
736,-0.373291,-0.930664
737,0.943359,0.39209
738,-0.943848,-0.377441
739,0.394775,0.911133
740,0.938477,-0.384033
741,0.926758,-0.384521
742,0.378906,-0.928711
743,0.388672,0.916016
744,0.382812,0.910645
745,-0.377197,-0.929688
746,-0.921875,-0.404053
747,-0.930176,0.371826
748,0.373535,0.925781
749,-0.394775,-0.936035
750,-0.944824,0.373535
751,-0.384277,-0.938965
752,-0.938965,-0.385986
753,-0.380615,0.915039
754,-0.394531,-0.935059
755,-0.388428,-0.928223
756,-0.917969,-0.388916
757,0.924805,-0.383301
758,0.376953,-0.943359
759,0.930664,-0.393066
760,0.921875,-0.39624
761,0.377441,0.933594
762,0.378906,0.939941
763,0.391846,0.921387
764,0.392578,-0.92334
765,-0.383545,0.918945
766,-0.924316,0.368408
767,0.916504,0.379883
768,0.928223,0.384766
769,-0.381836,0.916992
770,-0.374512,-0.932617
771,-0.929688,-0.399658
772,0.375488,0.930176
773,0.389404,-0.92041
774,-0.918945,-0.38623
775,0.929688,0.392334
776,-0.383789,0.92627
777,0.935547,0.385742
778,0.380615,-0.928223
779,0.40332,0.915039
780,-0.364258,0.932617
781,-0.388916,-0.929199
782,-0.349854,0.932129
783,-0.389893,-0.929688
784,0.926758,0.384521
785,-0.377441,0.925293
786,-0.927246,0.362549
787,-0.918945,-0.39502
788,0.376953,-0.922852
789,0.393799,-0.936035
790,-0.928223,-0.403076
791,0.380859,-0.923828
792,0.386475,-0.939941
793,0.930176,-0.396973
794,-0.934082,-0.406494
795,0.929688,-0.386475
796,0.399658,0.905762
797,-0.932129,-0.393799
798,0.922852,0.364014
799,0.925781,0.370361
800,0.927734,-0.415771
801,0.37793,-0.945312
802,0.924316,-0.368652
803,0.376709,0.90918
804,0.393799,-0.928223
805,-0.921387,-0.393311
806,-0.366455,-0.956055
807,0.935059,-0.405518
808,0.407227,0.90332
809,0.907715,-0.422119
810,0.412598,0.885742
811,-0.380371,0.892578
812,0.392334,0.922852
813,0.939941,0.327393
814,-0.410889,0.902832
815,0.349854,-0.983887
816,0.727051,0.209229
817,-1.046875,0.327148
818,-1.058594,0.323975
819,-0.443604,-1.033203
820,-1.056641,0.350098
821,-0.458496,-1.022461
822,-0.980469,0.35498
823,-0.410645,-0.962891
824,0.348877,0.952148
825,-0.962891,-0.377441
826,-0.407715,-0.933594
827,0.892578,-0.388428
828,0.356201,0.907715
829,-0.931641,0.366943
830,0.907227,0.358887
831,-0.396484,-0.944336
832,-0.397949,-0.942383
833,0.376221,-0.925293
834,-0.404297,-0.938477
835,-0.40625,-0.936523
836,0.375488,-0.935547
837,0.349609,-0.916016
838,0.902344,0.376709
839,-0.924805,0.389404
840,0.362305,0.90918
841,-0.403076,0.915527
842,0.896484,0.37207
843,-0.924316,0.37085
844,0.90918,0.381592
845,-0.378418,-0.922363
846,0.376221,0.92334
847,0.363037,0.905762
848,-0.932129,-0.376221
849,-0.931152,-0.379883
850,-0.392822,0.913086
851,-0.394287,-0.913086
852,-0.922852,-0.382568
853,0.919922,0.391846
854,0.36792,-0.925293
855,0.380371,-0.929199
856,0.910156,-0.368408
857,-0.37793,0.919922
858,-0.389404,0.919434
859,0.925781,-0.380127
860,-0.928223,0.37793
861,-0.930176,0.376465
862,-0.395264,-0.894043
863,0.887695,-0.38501
864,0.378662,-0.919922
865,0.364746,-0.931641
866,-0.937988,0.390625
867,-0.92334,0.390869
868,-0.382324,-0.916992
869,0.92041,-0.380859
870,-0.387939,0.925781
871,-0.932617,-0.37793
872,-0.397949,-0.930176
873,0.924316,0.373291
874,-0.385254,0.922852
875,0.913086,-0.380615
876,-0.917969,-0.386719
877,-0.397461,-0.922852
878,0.912598,0.385986
879,0.90625,0.37793
880,-0.935059,-0.382812
881,-0.401611,-0.947754
882,-0.949707,-0.375488
883,-0.94043,0.394531
884,-0.938965,0.385742
885,-0.933594,-0.393555
886,-0.391602,-0.919922
887,0.929199,-0.386719
888,0.91748,0.365479
889,0.906738,-0.388428
890,-0.930664,0.358887
891,0.906738,-0.397217
892,-0.382324,-0.91748
893,0.918457,-0.386963
894,0.374512,-0.922852
895,-0.382812,-0.916992
896,0.916992,0.371582
897,-0.376221,0.926758
898,0.371826,0.916016
899,-0.397949,-0.928223
900,-0.388184,0.922852
901,-0.392334,-0.907715
902,-0.384766,-0.905273
903,-0.386963,-0.902344
904,0.909668,-0.373291
905,-0.385986,0.921387
906,-0.939453,0.378662
907,-0.9375,0.382812
908,0.386475,-0.919922
909,-0.378662,-0.930176
910,0.385498,-0.936035
911,-0.918945,-0.383545
912,0.940918,-0.386475
913,-0.381836,-0.928223
914,0.911621,0.382568
915,0.38208,0.921387
916,0.369385,0.921387
917,-0.389893,0.923828
