index,I_float,Q_float
309,0.923828,0.38623
310,0.923828,-0.388428
311,-0.389404,0.923828
312,0.916016,-0.37793
313,0.380127,-0.931641
314,-0.371338,0.93457
315,-0.912598,-0.378418
316,0.917969,0.381348
317,-0.913574,0.390625
318,-0.372314,0.915039
319,0.383057,-0.926758
320,0.391113,-0.929688
321,-0.379395,-0.930664
322,-0.9375,0.361572
323,0.381104,0.935059
324,0.916504,-0.392334
325,-0.936035,0.375488
326,-0.925781,-0.384033
327,-0.368896,0.936523
328,-0.377686,-0.917969
329,0.935059,-0.386719
330,-0.393555,0.926758
331,-0.375,0.939453
332,-0.922852,0.375977
333,-0.916016,-0.381348
334,0.925293,-0.382324
335,0.929688,0.392334
336,-0.407715,-0.933594
337,-0.397461,-0.922852
338,-0.938965,0.392578
339,0.373535,-0.931152
340,-0.930176,0.376221
341,0.383789,-0.935547
342,-0.924805,0.379395
343,0.929199,-0.380615
344,0.922363,-0.366699
345,-0.384033,-0.931152
346,0.382568,-0.920898
347,0.376709,-0.935059
348,-0.928711,-0.373291
349,-0.383545,-0.914551
350,-0.923828,0.380127
351,-0.372803,-0.931152
352,0.397949,-0.925293
353,-0.375244,-0.92627
354,0.898438,0.381592
355,-0.386963,0.918457
356,0.918457,-0.393799
357,-0.391602,0.92334
358,-0.927734,0.376709
359,0.927246,0.366943
360,0.907715,-0.399902
361,0.38916,0.913086
362,0.92041,0.386963
363,-0.390869,-0.936035
364,-0.373047,0.919922
365,0.921875,0.397949
366,-0.382568,-0.927246
367,-0.383789,0.92627
368,0.892578,-0.388428
369,0.912598,0.385986
370,0.373047,-0.935547
371,-0.383301,-0.935059
372,0.926758,0.371338
373,-0.394287,-0.928223
374,0.930664,0.368164
375,0.908691,-0.380615
376,-0.385986,0.910156
377,0.929688,-0.394775
378,-0.93457,0.385742
379,-0.379883,-0.916992
380,0.364746,-0.935547
381,0.378418,0.90918
382,0.374268,0.914551
383,-0.928223,0.392578
384,-0.930176,0.386963
385,-0.380615,-0.924805
386,-0.918457,0.376953
387,-0.38916,-0.929688
388,0.922363,0.378174
389,0.931641,0.393555
390,-0.91748,-0.386963
391,-0.383545,-0.933594
392,-0.372559,0.924316
393,-0.93457,-0.371094
394,0.389404,-0.924316
395,0.386963,-0.927734
396,-0.899414,-0.379395
397,0.391357,-0.914551
398,-0.918457,-0.393799
399,0.935547,0.385742
400,0.356201,0.907715
401,0.90625,0.37793
402,0.37207,0.921875
403,-0.927246,0.387451
404,-0.388672,0.922852
405,0.37915,0.939941
406,0.91748,-0.384277
407,-0.389893,-0.932129
408,0.92334,-0.379639
409,-0.924316,-0.390869
410,0.373535,-0.932617
411,0.375244,-0.931641
412,-0.399658,-0.908203
413,0.91748,0.388428
414,-0.374756,-0.925781
415,-0.930176,0.371338
416,-0.941406,-0.388672
417,0.932129,-0.383789
418,-0.910645,0.371338
419,-0.380371,0.925781
420,-0.394043,-0.927246
421,0.932129,0.387939
422,0.381836,0.933594
423,0.386963,0.922363
424,0.376465,0.933105
425,-0.399902,0.928223
426,0.912598,-0.372803
427,0.377441,-0.931152
428,0.384277,-0.922363
429,-0.916016,-0.396484
430,0.379883,-0.916992
431,0.380615,-0.928223
432,-0.931641,0.366943
433,-0.935059,-0.382812
434,-0.37085,0.936523
435,-0.924316,-0.388428
436,0.37915,0.925781
437,-0.393799,0.9375
438,-0.38916,-0.927246
439,0.380859,-0.922852
440,0.923828,0.393799
441,0.389648,0.922363
442,0.378418,-0.928711
443,0.929199,0.382568
444,0.385254,0.907715
445,-0.916992,-0.378174
446,-0.907715,-0.365723
447,0.936523,0.376953
448,0.394531,-0.911133
449,0.39209,-0.920898
450,-0.921875,0.38208
451,0.388184,-0.925293
452,0.369629,-0.933594
453,0.394287,-0.930664
454,-0.92334,0.378174
455,-0.931152,0.390137
456,0.92334,-0.388916
457,0.918457,0.38501
458,0.912109,0.385498
459,-0.930664,-0.386719
460,0.389648,0.899414
461,0.386963,-0.931641
462,-0.382568,-0.940918
463,0.40332,0.915039
464,0.907227,0.358887
465,-0.401611,-0.947754
466,0.379883,0.925781
467,-0.927246,-0.390625
468,0.374756,-0.931152
469,-0.944336,0.38623
470,0.911133,0.380127
471,0.927734,0.389648
472,0.912598,0.377441
473,-0.386963,-0.92627
474,-0.380371,0.927246
475,-0.914551,-0.370117
476,-0.919434,0.377441
477,0.370605,0.919922
478,0.921875,-0.375977
479,-0.381104,0.928223
480,-0.394531,0.909668
481,0.371826,0.921875
482,-0.914062,-0.373047
483,0.919434,-0.358887
484,-0.377197,-0.930176
485,0.385986,0.94043
486,-0.92334,-0.390137
487,-0.924805,0.378174
488,-0.384277,-0.933594
489,-0.927246,0.391113
490,0.92334,0.37207
491,0.372559,-0.935059
492,0.382812,0.927246
493,-0.919922,-0.386719
494,-0.907715,0.364014
495,-0.364258,0.932617
496,-0.396484,-0.944336
497,-0.949707,-0.375488
498,-0.38208,0.916992
499,-0.384277,-0.9375
500,-0.386963,0.922363
501,-0.387207,-0.933594
502,-0.91748,0.38623
503,-0.37915,0.924805
504,0.373047,0.930664
505,0.921875,-0.377441
506,-0.929688,0.388184
507,-0.382812,0.918945
508,-0.916992,0.380371
509,-0.378174,-0.921875
510,0.381104,-0.933105
511,0.378662,-0.922852
512,-0.922852,-0.377441
513,-0.929688,-0.384766
514,0.914551,-0.385742
515,0.920898,0.385742
516,-0.936523,-0.39502
517,0.374268,0.924316
518,0.377441,0.928223
519,-0.923828,0.396729
520,-0.929688,0.375732
521,0.92041,-0.38208
522,-0.92627,-0.392578
523,-0.380859,0.925293
524,-0.929688,-0.377441
525,-0.933594,0.363281
526,-0.918945,0.379883
527,-0.388916,-0.929199
528,-0.397949,-0.942383
529,-0.94043,0.394531
530,0.38208,-0.921387
531,-0.924805,-0.386719
532,0.394775,-0.92334
533,-0.943359,0.386963
534,0.922363,-0.380127
535,-0.378418,0.930664
536,0.385742,0.926758
537,-0.383057,0.92334
538,-0.925781,0.380615
